id,id_farmacia,id_client,name_client,product_id,product_name,quantity,price,total_price,date
28,3,502-43-3613,Jeff Ferguson,79,Rayovac Hearing Aid Batteries,8,14.99,119.92,18-10-2022
29,0,615-94-1814,Kimberly Wood,90,"Burt's Bees 100% Natural Origin Moisturizing Lip Balm Original Beeswax with Vitamin E & Peppermint Oil, Beeswax, 4 Tubes",30,9.59,287.7,24-11-2022
30,14,133-41-4597,Paula Chavez,23,Dove Advanced Care Dry Spray Antiperspirant Deodorant Crystal Touch,2,8.49,16.98,29-10-2022
31,9,320-73-0469,Chad Clark Jr.,57,St. Tropez Self Tan Bronzing Spray,23,35.0,805.0,06-11-2022
32,6,417-13-2524,Kevin Walters,59,Snow Regular Strength Whitening Wands Refill - Silver,9,19.99,179.91,15-10-2022
33,11,479-88-9081,John Jones,168,OH K! SOS Blemish Patches,28,5.0,140.0,29-12-2022
34,5,332-83-0381,Marco David,98,Gillette Sensor Razor Refill Cartridges,19,26.99,512.81,06-10-2022
35,13,726-33-4248,Joyce Kent,102,"Doctor's Best Best Vitamin D3, 2000 IU, Softgels",11,10.99,120.89,23-11-2022
36,13,044-55-7149,Theresa Schwartz,58,Schmidt's Natural Deodorant Stick Sage + Vetiver,20,9.99,199.8,19-12-2022
37,5,361-95-6193,Robert Page,110,Ella + Mila Take It Off Cuticle Remover,8,10.49,83.92,04-11-2022
38,6,332-83-0381,Marco David,26,AXE Body Wash Apollo,15,5.49,82.35000000000001,27-10-2022
39,1,125-20-9088,John Jacobs,39,Raid Essentials Multi-Insect Killer 29,11,9.49,104.39,21-10-2022
40,11,182-89-3771,Lee Mcgee,86,OGX Argan Oil of Morocco Dry Shampoo,15,8.99,134.85,19-10-2022
41,1,506-37-5492,Ann Williams,99,Walgreens Hearing Aid Batteries 10,14,8.99,125.86,24-11-2022
42,7,557-28-4898,William Bowen,158,Mom's Best Naturals Sweetened Wheatfuls Cereal,7,3.49,24.43,15-12-2022
43,6,869-14-9914,Amber Hernandez,79,Rayovac Hearing Aid Batteries,15,14.99,224.85,19-10-2022
44,5,864-57-4386,Travis Fritz,175,"L'Oreal Paris Infallible Pro Gloss Plump Lip Gloss with Hyaluronic Acid, Gleam",0,9.99,0.0,01-10-2022
45,7,622-46-3445,Austin Davis,100,"Tomcat Mouse Killer Child Resistant, Disposable Station",28,9.99,279.72,19-10-2022
46,13,892-99-8938,Nathaniel Gamble,12,Laci Le Beau Super Dieter's Tea Bags Cinnamon Spice,18,9.99,179.82,27-12-2022
47,0,271-14-2248,David Warren,23,Dove Advanced Care Dry Spray Antiperspirant Deodorant Crystal Touch,8,8.49,67.92,15-10-2022
48,11,247-11-8580,Stephanie Rodriguez,45,Walgreens Total Face Brush Set,3,10.99,32.97,13-10-2022
49,12,841-13-4922,Heather Cummings,7,"essie nail polish, sunny business collection, any-fin goes",7,9.0,63.0,25-09-2022
50,0,668-14-1912,Brianna Howard,136,Melissa & Doug Bead Maze,0,34.99,0.0,06-10-2022
51,1,601-32-3439,Pamela Brown,20,Method All Purpose Cleaning Wipes Pink Grapefruit,23,3.99,91.77000000000001,18-11-2022
52,3,865-50-6891,Vincent Tucker,133,Chef Boyardee Chili Mac,28,3.0,84.0,08-12-2022
53,13,820-20-3487,Charlene Taylor,17,Finest Nutrition Ginkgo Biloba 120 mg Capsules,17,12.99,220.83,12-10-2022
54,14,620-32-1455,Summer Carter,58,Schmidt's Natural Deodorant Stick Sage + Vetiver,29,9.99,289.71,12-11-2022
55,6,296-91-5055,Latoya Evans,0,"Waterpik Tip Storage Case with 6 Replacement Tips, TS-100E",13,15.99,207.87,16-10-2022
56,6,515-05-9403,Robert Holmes,157,Sally Hansen Flirty Eyes Classic Eyelash Curler,30,3.99,119.7,24-10-2022
57,0,782-56-6377,Daniel Wong,88,Walgreens Total Face Brush Set,22,10.99,241.78,06-11-2022
58,13,533-93-0427,Karen Taylor,173,Laci Le Beau Super Dieter's Tea Bags Cinnamon Spice,14,9.99,139.86,11-12-2022
59,2,645-94-6871,Alan Reid,23,Dove Advanced Care Dry Spray Antiperspirant Deodorant Crystal Touch,8,8.49,67.92,03-10-2022
60,11,758-05-4161,Lauren Parsons,69,Bud's Best Peanut Butter n' Graham,0,1.0,0.0,17-12-2022
61,2,252-61-6255,James Brewer,97,Caudalie Resveratrol LIFT Face Lifting Soft Cream,6,76.0,456.0,02-12-2022
62,10,404-69-9752,Steven Gordon,51,Paul Mitchell Sculpting Gel,13,11.0,143.0,24-11-2022
63,8,726-33-4248,Joyce Kent,143,"Philips Norelco Shaving Head Replacement, Reflex Plus MicroAction",3,33.99,101.97,17-12-2022
64,14,296-91-5055,Latoya Evans,31,Foster Grant Cole Reading Glasses +3.25 Black,16,19.99,319.84,16-11-2022
65,7,544-83-8024,Joshua Jones,116,Foligain Stimulating Supplement for Thinning Hair,17,24.99,424.83,02-11-2022
66,2,429-47-1596,David Gibbs,65,Aussie Headstrong Volume Spray Hair Gel Maximum Hold,12,3.99,47.88,30-09-2022
67,9,149-90-5856,Dalton Joseph,85,Schmidt's Natural Deodorant Stick Sage + Vetiver,26,9.99,259.74,19-10-2022
68,7,791-91-8866,Mary Torres,89,Karman 20in Seat Lightweight Reclining Transport Wheelchair,15,1238.0,18570.0,28-12-2022
69,14,177-05-5910,Elizabeth Charles,6,Tranquility Premium Daytime Disposable Absorbent Underwear XXL,14,79.0,1106.0,21-12-2022
70,14,823-70-7340,Willie Golden,141,Walgreens Wal-Nadol Acetaminophen 500 mg Pain Reliever/Fever Reducer Caplets,12,2.69,32.28,26-12-2022
71,12,125-20-9088,John Jacobs,57,St. Tropez Self Tan Bronzing Spray,13,35.0,455.0,20-10-2022
72,4,508-27-8008,Megan Sullivan,121,"essie nail polish, sunny business collection, any-fin goes",4,9.0,36.0,19-10-2022
73,7,479-57-6026,Keith Jones,92,"Doctor's Best Best Vitamin D3, 2000 IU, Softgels",20,10.99,219.8,21-11-2022
74,9,870-22-8473,Matthew Kim,133,Chef Boyardee Chili Mac,21,3.0,63.0,01-10-2022
75,3,362-65-6122,Aaron Scott,132,"Johnson's Baby Tear-Free Bedtime Bath, Soothing Aromas",20,7.29,145.8,15-12-2022
76,1,419-02-6836,Stephanie Alexander,39,Raid Essentials Multi-Insect Killer 29,10,9.49,94.9,24-09-2022
77,5,473-73-3616,Kathryn Tucker,196,ScarAway Silicone Scar Sheets 1.5 inch x 3 inch 1.5x3 inch,28,21.99,615.7199999999999,18-11-2022
78,6,801-42-0576,Adrian Pratt,105,Finest Nutrition Advanced Glucosamine & Chondroitin Plus UC-II,15,37.99,569.85,14-10-2022
79,2,886-29-8133,Keith Brooks,12,Laci Le Beau Super Dieter's Tea Bags Cinnamon Spice,25,9.99,249.75,31-12-2022
80,12,393-84-8687,Victoria Kemp,194,"Waterpik Sidekick Water Flosser, White with Chrome White With Chrome",21,129.99,2729.79,25-11-2022
81,3,247-11-8580,Stephanie Rodriguez,46,Walgreens Clear Tape 1 inch,16,6.0,96.0,28-11-2022
82,11,782-56-6377,Daniel Wong,111,Summer's Eve Fresh Scent Douche Fresh,4,4.49,17.96,10-12-2022
83,11,242-97-0278,Andrew Hall,169,Vicks Severe Medicated Drops,18,3.99,71.82000000000001,17-10-2022
84,9,135-93-9775,Ashley Young,8,Snow Regular Strength Whitening Wands Refill - Silver,7,19.99,139.92999999999998,21-11-2022
85,14,622-46-3445,Austin Davis,142,"Culturelle Ultimate Strength Probiotic, 20 Billion CFUs, Capsules",23,21.29,489.66999999999996,15-10-2022
86,0,673-01-2982,Kelly Cook,15,Ja-Ru Flarp! Noise Putty,4,5.99,23.96,21-10-2022
87,7,321-19-1155,Andrew Newman,169,Vicks Severe Medicated Drops,21,3.99,83.79,03-10-2022
88,13,645-94-6871,Alan Reid,108,"One A Day Prenatal 1 with DHA & Folic Acid, Softgels",29,34.99,1014.71,11-12-2022
89,10,558-62-5616,April Jensen,174,Cheez-It Baked Snack Cheese Crackers in a Cup Original,10,1.99,19.9,22-11-2022
90,10,502-58-2014,Christopher Williams,41,Biore Deep Cleansing Charcoal Pore Strips,11,16.99,186.89,30-11-2022
91,13,898-97-7763,Robert Blair,183,"Wet n Wild MegaLast Liquid Catsuit High-Shine Lipstick, Peach Stole My Look",14,5.49,76.86,09-11-2022
92,7,622-46-3445,Austin Davis,119,Hallmark Thinking of You Card (Brighten Your Day Flower Pattern),2,4.59,9.18,08-10-2022
93,3,505-02-4106,James Graham,192,Nautica Midnight Voyage Fragrance Set,4,36.0,144.0,09-11-2022
94,7,032-44-8823,Matthew Powers,53,"Poise Pads, Light Absorbency, Long",28,6.49,181.72,06-11-2022
95,11,735-11-2481,Heather Johnson,5,Colgate Optic White Advanced Teeth Whitening Toothpaste Sparkling White,12,6.79,81.48,16-10-2022
96,1,418-50-0307,Gregory Elliott,149,Garnier Fructis Sleek & Shine Moroccan Sleek Oil Treatment for Frizzy Hair,18,5.29,95.22,30-12-2022
97,6,032-44-8823,Matthew Powers,53,"Poise Pads, Light Absorbency, Long",20,6.49,129.8,20-09-2022
98,10,252-61-6255,James Brewer,135,"Tide +Downy Free, Liquid Laundry Detergent, Unscented",20,12.99,259.8,21-11-2022
99,4,707-09-7596,Andrea Rodriguez,139,Gillette Sensor 2 Disposable Razors,17,6.79,115.43,28-09-2022
100,1,242-97-0278,Andrew Hall,192,Nautica Midnight Voyage Fragrance Set,0,36.0,0.0,16-10-2022
101,6,464-72-9958,Patricia Cochran,79,Rayovac Hearing Aid Batteries,2,14.99,29.98,24-12-2022
102,0,526-43-9776,Stephanie Young MD,157,Sally Hansen Flirty Eyes Classic Eyelash Curler,30,3.99,119.7,23-09-2022
103,9,755-42-6263,Mr. Alexander Burton,94,think! Protein Bars Creamy Peanut Butter,4,11.99,47.96,18-11-2022
104,4,394-47-7605,Kristina Jenkins,151,Baby Bum Bubble Bath Natural Fragrance,14,9.99,139.86,25-10-2022
105,14,883-07-8577,Andrea Smith,97,Caudalie Resveratrol LIFT Face Lifting Soft Cream,12,76.0,912.0,24-12-2022
106,8,393-84-8687,Victoria Kemp,58,Schmidt's Natural Deodorant Stick Sage + Vetiver,26,9.99,259.74,04-12-2022
107,4,779-50-5792,Brandi Jimenez,11,"Vicks VapoCOOL Severe, Medicated Drops",4,5.99,23.96,30-10-2022
108,10,591-07-6759,Taylor Johnson,144,Vichy Mineral Thermal Spa Water Spray from French Volcanoes,15,4.09,61.349999999999994,28-09-2022
109,8,198-92-8017,Jennifer Moore,111,Summer's Eve Fresh Scent Douche Fresh,10,4.49,44.900000000000006,08-11-2022
110,11,052-54-3081,Tonya Irwin,29,SlimFast Advanced Nutrition High Protein Smoothie Vanilla Cream,13,14.49,188.37,06-12-2022
111,10,807-04-6861,Thomas Cook,194,"Waterpik Sidekick Water Flosser, White with Chrome White With Chrome",4,129.99,519.96,23-09-2022
112,1,892-99-8938,Nathaniel Gamble,63,"Culturelle Ultimate Strength Probiotic, 20 Billion CFUs, Capsules",1,21.29,21.29,09-12-2022
113,4,593-54-0680,Brenda Werner,98,Gillette Sensor Razor Refill Cartridges,3,26.99,80.97,03-11-2022
114,4,504-48-4815,Dennis Rodriguez,157,Sally Hansen Flirty Eyes Classic Eyelash Curler,25,3.99,99.75,10-12-2022
115,3,382-44-9296,Christina Butler,138,YourGoodSkin ProVitamin Overnight Cream,1,12.99,12.99,02-11-2022
116,8,324-93-8298,Andrew Myers,3,Bourjois 1 Seconde 2ea 04 Taupe Classy,5,11.99,59.95,22-11-2022
117,13,653-58-6204,Megan Baxter,163,Walgreens Deep Cleansing Pore Strips,27,5.99,161.73000000000002,23-10-2022
118,5,330-51-1748,Sarah Thomas,88,Walgreens Total Face Brush Set,3,10.99,32.97,07-12-2022
119,8,429-47-1596,David Gibbs,194,"Waterpik Sidekick Water Flosser, White with Chrome White With Chrome",2,129.99,259.98,22-10-2022
120,9,738-69-5790,Sean Hernandez,133,Chef Boyardee Chili Mac,2,3.0,6.0,04-12-2022
121,2,446-46-4945,Michael Johnson,8,Snow Regular Strength Whitening Wands Refill - Silver,16,19.99,319.84,29-12-2022
122,3,129-43-9396,Christina Walker,24,Jennifer Aniston Beachscape Fruit,17,43.99,747.83,19-12-2022
123,3,226-97-1857,Tiffany Long,177,Paul Mitchell Soft Sculpting Spray Gel,21,10.0,210.0,19-10-2022
124,6,854-26-9971,John Alexander,155,Mueller Performance Sleeve Black,22,12.99,285.78000000000003,24-12-2022
125,7,728-44-8950,Brandon Smith,40,Hallmark Thinking of You Card (Brighten Your Day Flower Pattern),8,4.59,36.72,21-12-2022
126,14,728-44-8950,Brandon Smith,140,Studio 35 Dead Sea Mineral Face Mask,27,4.0,108.0,15-10-2022
127,3,678-15-9433,Jennifer Tyler,80,Karman Universal Foam Seat Cushion 18x16 inches Black,4,29.99,119.96,25-10-2022
128,8,865-50-6891,Vincent Tucker,21,Fritos Corn Chips The Original,21,1.79,37.59,31-10-2022
129,4,149-55-3370,Lori Lee,8,Snow Regular Strength Whitening Wands Refill - Silver,2,19.99,39.98,07-12-2022
130,0,491-21-1747,Kara Quinn,29,SlimFast Advanced Nutrition High Protein Smoothie Vanilla Cream,5,14.49,72.45,20-12-2022
131,4,854-26-9971,John Alexander,131,Medline Deluxe Comfort Rollator,17,110.0,1870.0,03-11-2022
132,13,160-56-8043,Lee Lee,22,"Walgreens Hearing Aid Batteries, Zero Mercury #675",13,17.99,233.86999999999998,23-11-2022
133,8,733-95-1871,Amanda Quinn,31,Foster Grant Cole Reading Glasses +3.25 Black,2,19.99,39.98,04-12-2022
134,7,149-55-3370,Lori Lee,44,Medline Deluxe Comfort Rollator,9,110.0,990.0,20-10-2022
135,10,339-15-4637,Annette Baxter,172,West Loop Sunglasses Brothers,22,12.99,285.78000000000003,26-10-2022
136,0,653-58-6204,Megan Baxter,2,Degree Deodorant Wipes Cool Rush,20,6.49,129.8,24-10-2022
137,1,292-49-9961,Kathryn Lucas,81,Similac NeoSure Infant Formula with Iron 13.1 oz,17,22.99,390.83,12-12-2022
138,4,346-84-2037,Michelle Phillips,181,"Jergens Face Moisturizer Self Tanner, SPF 20 Medium toTan",7,10.79,75.53,17-12-2022
139,8,781-65-1844,Haley Fuller,66,Spectrum Essentials Organic Ground Chia Seed Omega-3 & Fiber,19,13.99,265.81,27-09-2022
140,12,322-04-7112,Russell Williams,107,PetShoppe Retractable Pet Leash,8,9.99,79.92,03-12-2022
141,3,442-77-6471,Susan Chambers,80,Karman Universal Foam Seat Cushion 18x16 inches Black,29,29.99,869.7099999999999,27-11-2022
142,7,160-56-8043,Lee Lee,181,"Jergens Face Moisturizer Self Tanner, SPF 20 Medium toTan",3,10.79,32.37,13-11-2022
143,5,360-62-6723,Nathaniel Smith,133,Chef Boyardee Chili Mac,1,3.0,3.0,19-10-2022
144,11,508-27-8008,Megan Sullivan,98,Gillette Sensor Razor Refill Cartridges,0,26.99,0.0,20-10-2022
145,1,675-58-9719,Frances Short,25,Aquaphor 3 in 1 Diaper Rash Cream,26,7.99,207.74,13-10-2022
146,14,879-07-8776,Rachel Garrison,112,Bounty Essentials Select-A-Size Paper Towels Big Rolls White,0,8.49,0.0,25-12-2022
147,5,792-20-8330,Linda Dickson,105,Finest Nutrition Advanced Glucosamine & Chondroitin Plus UC-II,3,37.99,113.97,26-11-2022
148,3,607-73-3307,Kathy Mcintyre,72,Medline Overbed Table,8,72.49,579.92,10-11-2022
149,6,044-55-7149,Theresa Schwartz,178,"Doctor's Best Best Vitamin D3, 2000 IU, Softgels",29,10.99,318.71,27-09-2022
150,2,226-88-0966,Kayla Herrera,91,Carol's Daughter Goddess Strength Divine Strength Leave in Cream With Castor Oil,6,13.99,83.94,21-10-2022
151,2,382-27-4160,Michael Ruiz,77,Zantac 360 Famotidine Tablets 20 mg,25,5.79,144.75,08-10-2022
152,2,324-93-8298,Andrew Myers,64,RXBAR Minis Protein Bar Variety Pack,17,10.99,186.83,23-09-2022
153,2,620-32-1455,Summer Carter,184,Walgreens Foundation Brush,13,3.99,51.870000000000005,19-12-2022
154,2,755-29-0067,Samantha Yang,194,"Waterpik Sidekick Water Flosser, White with Chrome White With Chrome",17,129.99,2209.83,06-10-2022
155,14,672-64-9761,Shannon Johns,174,Cheez-It Baked Snack Cheese Crackers in a Cup Original,5,1.99,9.95,24-12-2022
156,3,226-88-0966,Kayla Herrera,198,"Wearever Reusable Women's Super Incontinence Panty Beige, Beige",9,19.99,179.91,31-12-2022
157,13,081-43-0749,Brandy Gill,184,Walgreens Foundation Brush,14,3.99,55.86,30-12-2022
158,14,601-32-3439,Pamela Brown,15,Ja-Ru Flarp! Noise Putty,13,5.99,77.87,11-10-2022
159,6,149-90-5856,Dalton Joseph,99,Walgreens Hearing Aid Batteries 10,6,8.99,53.94,08-11-2022
160,8,792-20-8330,Linda Dickson,126,Bud's Best Sandwich Cookie Caco,3,1.0,3.0,06-10-2022
161,13,240-48-7869,Christopher Pacheco,136,Melissa & Doug Bead Maze,0,34.99,0.0,30-09-2022
162,0,755-29-0067,Samantha Yang,190,Foster Grant Cole Reading Glasses +3.25 Black,12,19.99,239.88,16-11-2022
163,10,473-34-8944,Jerry Smith,105,Finest Nutrition Advanced Glucosamine & Chondroitin Plus UC-II,11,37.99,417.89000000000004,13-12-2022
164,6,295-81-2541,Sandra Burns,185,"Tide +Downy Free, Liquid Laundry Detergent, Unscented",2,12.99,25.98,26-12-2022
165,2,755-29-0067,Samantha Yang,189,OH K! SOS Blemish Patches,6,5.0,30.0,25-09-2022
166,12,213-01-3356,Monique Santana,130,Celeste Stein Box 8-15 mmhg Compression Sock Grey,25,5.99,149.75,28-09-2022
167,11,125-20-9088,John Jacobs,63,"Culturelle Ultimate Strength Probiotic, 20 Billion CFUs, Capsules",14,21.29,298.06,19-12-2022
168,12,807-04-6861,Thomas Cook,153,"Jergens Face Moisturizer Self Tanner, SPF 20 Medium toTan",20,10.79,215.79999999999998,24-11-2022
169,4,646-43-3120,Nicholas Wilson,153,"Jergens Face Moisturizer Self Tanner, SPF 20 Medium toTan",4,10.79,43.16,03-11-2022
170,10,361-95-6193,Robert Page,93,West Loop Men's Thermal Set,26,15.99,415.74,28-10-2022
171,8,442-77-6471,Susan Chambers,34,Boost High Protein Complete Nutritional Drink Chocolate Sensation,0,17.49,0.0,20-11-2022
172,12,601-32-3439,Pamela Brown,155,Mueller Performance Sleeve Black,12,12.99,155.88,02-11-2022
173,7,894-06-2822,Heather Burgess,112,Bounty Essentials Select-A-Size Paper Towels Big Rolls White,4,8.49,33.96,19-11-2022
174,13,815-14-1259,Lisa Guerrero,179,ScarAway Silicone Scar Sheets 1.5 inch x 3 inch 1.5x3 inch,29,21.99,637.7099999999999,01-11-2022
175,5,707-09-7596,Andrea Rodriguez,101,"Milani Rose Powder Blush, Romantic Rose",18,9.49,170.82,10-11-2022
176,11,663-94-1749,Jay Allen,76,Colgate Optic White Advanced Teeth Whitening Toothpaste Sparkling White,21,6.79,142.59,25-12-2022
177,9,514-37-7970,Ernest Nunez,48,"Milani Rose Powder Blush, Romantic Rose",13,9.49,123.37,17-10-2022
178,4,875-53-8769,Brian Henderson DDS,42,West Loop Sunglasses Brothers,16,12.99,207.84,07-10-2022
179,12,645-94-6871,Alan Reid,193,Swiffer WetJet Multi Surface Floor Cleaner Spray Mop Pad Refill,28,13.49,377.72,27-11-2022
180,12,008-39-4585,Alexandra Williamson,165,West Loop Sunglasses Brothers,15,12.99,194.85,02-11-2022
181,4,658-72-6594,Shawn Miller,77,Zantac 360 Famotidine Tablets 20 mg,14,5.79,81.06,12-12-2022
182,8,442-88-6833,Thomas Rivers,186,Walgreens Foundation Brush,6,3.99,23.94,22-10-2022
183,7,147-96-8119,Marc Johnson,4,Dr. Collins Dental Floss,6,3.29,19.740000000000002,05-12-2022
184,1,530-82-6065,Brianna Romero,0,"Waterpik Tip Storage Case with 6 Replacement Tips, TS-100E",26,15.99,415.74,17-10-2022
185,14,575-54-1109,Brian Jones,158,Mom's Best Naturals Sweetened Wheatfuls Cereal,5,3.49,17.450000000000003,13-12-2022
186,5,796-99-4676,Patricia Mcdonald,2,Degree Deodorant Wipes Cool Rush,21,6.49,136.29,13-12-2022
187,0,081-43-0749,Brandy Gill,155,Mueller Performance Sleeve Black,29,12.99,376.71,11-10-2022
188,13,402-21-2521,Jane Wallace,60,Thayers Witch Hazel Blemish Clearing Cleanser,12,14.99,179.88,22-11-2022
189,11,205-67-4767,Wendy Miller,90,"Burt's Bees 100% Natural Origin Moisturizing Lip Balm Original Beeswax with Vitamin E & Peppermint Oil, Beeswax, 4 Tubes",2,9.59,19.18,03-12-2022
190,6,580-45-5915,Connor Rodriguez,179,ScarAway Silicone Scar Sheets 1.5 inch x 3 inch 1.5x3 inch,0,21.99,0.0,27-12-2022
191,2,123-51-1500,William Johnson,152,Dove Dry Spray Antiperspirant Deodorant Clear Finish,17,8.49,144.33,24-10-2022
192,5,015-77-8712,Oscar Harrell,98,Gillette Sensor Razor Refill Cartridges,6,26.99,161.94,30-10-2022
193,2,544-83-8024,Joshua Jones,127,"Colgate 2-in-1 Whitening Toothpaste Gel and Mouthwash, Icy Blast Icy Blast",21,4.29,90.09,09-10-2022
194,9,149-90-5856,Dalton Joseph,104,Boost High Protein Complete Nutritional Drink Chocolate Sensation,18,17.49,314.82,09-12-2022
195,14,041-47-2947,John Avila,0,"Waterpik Tip Storage Case with 6 Replacement Tips, TS-100E",1,15.99,15.99,14-11-2022
196,14,486-44-5631,Brian Jimenez,165,West Loop Sunglasses Brothers,20,12.99,259.8,11-12-2022
197,14,252-61-6255,James Brewer,128,Gun Oil H2O Water Based Lubricant Unscented,2,32.99,65.98,12-11-2022
198,4,845-93-1404,Joseph Valenzuela,162,DevaCurl Super Cream Styler,29,27.99,811.7099999999999,09-12-2022
199,14,801-42-0576,Adrian Pratt,182,Milani Mascara Highly Rated Mascara Mini,1,6.99,6.99,02-11-2022
200,2,780-53-0594,Jennifer Miller,168,OH K! SOS Blemish Patches,23,5.0,115.0,25-10-2022
201,7,479-88-9081,John Jones,155,Mueller Performance Sleeve Black,29,12.99,376.71,01-11-2022
202,4,806-55-3640,Jennifer Morse,117,ScarAway Silicone Scar Sheets 1.5 inch x 3 inch 1.5x3 inch,25,21.99,549.75,25-12-2022
203,2,648-70-9914,Jeffrey Collins,131,Medline Deluxe Comfort Rollator,8,110.0,880.0,30-11-2022
204,11,356-30-1860,Amber Wallace,155,Mueller Performance Sleeve Black,14,12.99,181.86,12-11-2022
205,10,727-48-5878,Ian Morales,155,Mueller Performance Sleeve Black,29,12.99,376.71,12-11-2022
206,12,775-33-5075,Regina Gutierrez,175,"L'Oreal Paris Infallible Pro Gloss Plump Lip Gloss with Hyaluronic Acid, Gleam",21,9.99,209.79,28-12-2022
207,12,777-54-1277,Cynthia Reeves,149,Garnier Fructis Sleek & Shine Moroccan Sleek Oil Treatment for Frizzy Hair,24,5.29,126.96000000000001,04-10-2022
208,13,182-89-3771,Lee Mcgee,191,"Spiderman Spidey Vehicle 6""",30,9.99,299.7,20-11-2022
209,4,688-20-7506,Henry Moss,175,"L'Oreal Paris Infallible Pro Gloss Plump Lip Gloss with Hyaluronic Acid, Gleam",24,9.99,239.76,13-11-2022
210,4,473-34-8944,Jerry Smith,28,Rockstar Punched Fruit Punch Flavor Energy Drink,20,6.99,139.8,04-11-2022
211,8,506-60-2828,Stephanie Silva,19,Walgreens Hand Sanitizer Clear,0,4.79,0.0,25-09-2022
212,9,123-51-1500,William Johnson,198,"Wearever Reusable Women's Super Incontinence Panty Beige, Beige",30,19.99,599.6999999999999,07-10-2022
213,14,342-84-2210,Justin Stephens,104,Boost High Protein Complete Nutritional Drink Chocolate Sensation,12,17.49,209.88,29-12-2022
214,7,287-89-2986,Scott Sanders,80,Karman Universal Foam Seat Cushion 18x16 inches Black,20,29.99,599.8,07-10-2022
